id,ancestor_list,origin_time,destruction_time,num_orgs,tot_orgs,num_offspring,total_offspring,depth,taxinfo,taxinfo,taxinfo,taxinfo,taxinfo,taxinfo,taxinfo,taxinfo,taxinfo,taxinfo,taxinfo,taxinfo
736,[676],1710,inf,1,6,1,4,13,0.03160061685274962,0.03160061685274962,0.03160061685274962,0.03160061685274962,0.03160061685274962,0.03160061685274962,0.03160061685274962,0.03160061685274962,0.03160061685274962,0.03160061685274962,0.03160061685274962,0.03160061685274962
847,[746],1950,inf,3,3,0,0,14,0.2542626812785775,0.2542626812785775,0.2542626812785775,0.2542626812785775,0.2542626812785775,0.2542626812785775,0.2542626812785775,0.2542626812785775,0.2542626812785775,0.2542626812785775,0.2542626812785775,0.2542626812785775
746,[606],1726,inf,6,20,8,15,13,0.29132847727191896,0.29132847727191896,0.29132847727191896,0.29132847727191896,0.29132847727191896,0.29132847727191896,0.29132847727191896,0.29132847727191896,0.29132847727191896,0.29132847727191896,0.29132847727191896,0.29132847727191896
841,[831],1939,inf,3,4,1,1,16,0.30830657335236356,0.30830657335236356,0.30830657335236356,0.30830657335236356,0.30830657335236356,0.30830657335236356,0.30830657335236356,0.30830657335236356,0.30830657335236356,0.30830657335236356,0.30830657335236356,0.30830657335236356
862,[830],1984,inf,2,2,1,1,18,0.275769612120656,0.275769612120656,0.275769612120656,0.275769612120656,0.275769612120656,0.275769612120656,0.275769612120656,0.275769612120656,0.275769612120656,0.275769612120656,0.275769612120656,0.275769612120656
775,[771],1776,inf,2,13,1,4,33,0.28508414112065683,0.28508414112065683,0.28508414112065683,0.28508414112065683,0.28508414112065683,0.28508414112065683,0.28508414112065683,0.28508414112065683,0.28508414112065683,0.28508414112065683,0.28508414112065683,0.28508414112065683
789,[741],1805,inf,1,8,1,3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
792,[770],1813,inf,1,5,1,1,15,0.31048633406735526,0.31048633406735526,0.31048633406735526,0.31048633406735526,0.31048633406735526,0.31048633406735526,0.31048633406735526,0.31048633406735526,0.31048633406735526,0.31048633406735526,0.31048633406735526,0.31048633406735526
817,[746],1883,inf,2,8,2,4,14,0.3182504919626331,0.3182504919626331,0.3182504919626331,0.3182504919626331,0.3182504919626331,0.3182504919626331,0.3182504919626331,0.3182504919626331,0.3182504919626331,0.3182504919626331,0.3182504919626331,0.3182504919626331
793,[754],1814,inf,1,2,0,0,16,0.2971869398462321,0.2971869398462321,0.2971869398462321,0.2971869398462321,0.2971869398462321,0.2971869398462321,0.2971869398462321,0.2971869398462321,0.2971869398462321,0.2971869398462321,0.2971869398462321,0.2971869398462321
838,[810],1930,inf,1,1,0,0,35,0.3929009885166284,0.3929009885166284,0.3929009885166284,0.3929009885166284,0.3929009885166284,0.3929009885166284,0.3929009885166284,0.3929009885166284,0.3929009885166284,0.3929009885166284,0.3929009885166284,0.3929009885166284
861,[746],1983,inf,1,1,0,0,14,0.22953915591663787,0.22953915591663787,0.22953915591663787,0.22953915591663787,0.22953915591663787,0.22953915591663787,0.22953915591663787,0.22953915591663787,0.22953915591663787,0.22953915591663787,0.22953915591663787,0.22953915591663787
805,[754],1862,inf,1,1,1,1,16,0.2018345392157121,0.2018345392157121,0.2018345392157121,0.2018345392157121,0.2018345392157121,0.2018345392157121,0.2018345392157121,0.2018345392157121,0.2018345392157121,0.2018345392157121,0.2018345392157121,0.2018345392157121
