id,Generation,origin_time,destruction_time,Lifespan,Sex_check,Gnm_Len,sequence,ancestor_list
17,3,173,312,139,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['8']
18,3,173,206,33,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['13']
19,1,178,386,208,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['1']
20,6,182,324,142,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['15']
21,4,187,201,14,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'AF', 'DS', 'BQ', 'AP', 'DS', 'BQ', 'ED', '15', 'ER', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['10']
22,2,192,338,146,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['7']
23,2,192,305,113,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['11']
24,2,192,201,9,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['19']
25,7,196,366,170,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['20']
26,5,201,224,23,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['12']
27,3,206,348,142,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['6']
28,3,206,249,43,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['8']
29,3,206,423,217,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['22']
30,8,210,253,43,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['25']
31,1,211,387,176,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['1']
32,6,215,276,61,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['26']
33,4,220,234,14,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['17']
34,4,220,239,19,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['29']
35,4,220,279,59,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['28']
36,4,220,234,14,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['27']
37,9,224,443,219,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['30']
38,2,225,234,9,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['7']
39,2,225,239,14,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['11']
40,2,225,239,14,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['19']
41,2,225,423,198,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['31']
42,7,229,243,14,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['20']
