C:\Program Files (x86)\Evolve>evolve_batch s 10000u "C:\Users\Julio Hong\Documents\LioHong\Evolve-Simulation\\Runs\Run_015_big_bang\big_bang_20001.evolve" "C:\Users\Julio Hong\Documents\LioHong\Evolve-Simulation\\Runs\Run_015_big_bang\big_bang_30001.evolve"
Input:  C:\Users\Julio Hong\Documents\LioHong\Evolve-Simulation\\Runs\Run_015_big_bang\big_bang_20001.evolve
Output: C:\Users\Julio Hong\Documents\LioHong\Evolve-Simulation\\Runs\Run_015_big_bang\big_bang_30001.evolve
About to simulate universe for 10000 steps...
---------- BEGIN ----------
Step: 99001, Organisms: 5179,  Born: 18711266, Died: 18706088
Step: 100001, Organisms: 5307,  Born: 18832813, Died: 18827507
Step: 101001, Organisms: 5201,  Born: 18953713, Died: 18948513
Step: 102001, Organisms: 5299,  Born: 19075012, Died: 19069714
Step: 103001, Organisms: 5216,  Born: 19191547, Died: 19186332
Step: 104001, Organisms: 5097,  Born: 19308645, Died: 19303549
Step: 105001, Organisms: 5166,  Born: 19423621, Died: 19418456
Step: 106001, Organisms: 5090,  Born: 19536927, Died: 19531838
Step: 107001, Organisms: 5247,  Born: 19649682, Died: 19644436
Step: 108001, Organisms: 5419,  Born: 19764188, Died: 19758770
Step: 109001, Organisms: 5468,  Born: 19881383, Died: 19875916
Step: 110001, Organisms: 5631,  Born: 20001044, Died: 19995414
Step: 111001, Organisms: 5681,  Born: 20123376, Died: 20117696
Step: 112001, Organisms: 5654,  Born: 20245853, Died: 20240200
Step: 113001, Organisms: 5801,  Born: 20369065, Died: 20363265
Step: 114001, Organisms: 5836,  Born: 20491815, Died: 20485980
Step: 115001, Organisms: 5934,  Born: 20615755, Died: 20609822
Step: 116001, Organisms: 5879,  Born: 20738506, Died: 20732628
Step: 117001, Organisms: 6192,  Born: 20860491, Died: 20854300
Step: 118001, Organisms: 6179,  Born: 20983622, Died: 20977444
Step: 119001, Organisms: 5953,  Born: 21109294, Died: 21103342
Step: 120001, Organisms: 6064,  Born: 21235468, Died: 21229405
Step: 121001, Organisms: 5960,  Born: 21359036, Died: 21353077
Step: 122001, Organisms: 6121,  Born: 21484463, Died: 21478343
Step: 123001, Organisms: 6336,  Born: 21613517, Died: 21607182
Step: 124001, Organisms: 6268,  Born: 21744728, Died: 21738461
Step: 125001, Organisms: 6266,  Born: 21877887, Died: 21871622
Step: 126001, Organisms: 6558,  Born: 22012554, Died: 22005997
Step: 127001, Organisms: 6753,  Born: 22152612, Died: 22145860
Step: 128001, Organisms: 6599,  Born: 22292896, Died: 22286298
Step: 129001, Organisms: 6625,  Born: 22436496, Died: 22429872
Step: 130001, Organisms: 6744,  Born: 22581802, Died: 22575059
Step: 131001, Organisms: 6928,  Born: 22733028, Died: 22726101
Step: 132001, Organisms: 7022,  Born: 22887203, Died: 22880182
Step: 133001, Organisms: 6819,  Born: 23042089, Died: 23035271
Step: 134001, Organisms: 6941,  Born: 23203228, Died: 23196288
Step: 135001, Organisms: 7581,  Born: 23372333, Died: 23364753
