307888 307505 307505 279:[20000, 20058]
307887 307475 307475 304:[20000, 20057]
307886 307433 307433 302:[20000, 20090]
307885 307778 307355 287:[20000, 20075]
307891 301997 301997 264:[20000, 20418]
307901 307647 307647 282:[20000, 20000]
307907 307649 307649 283:[20000, 20316]
307906 307046 307046 286:[20000, 20238]
307912 305672 305672 286:[20000, 20032]
307919 306856 306856 303:[20000, 20195]
307935 307414 307840 302:[20000, 20029]
307950 307844 307844 301:[20000, 20020]
307941 306038 306038 290:[20000, 20045]
307955 307670 307670 306:[20000, 20003]
307953 306954 306954 281:[20000, 20141]
307952 306956 306956 285:[20000, 20135]
307960 305572 305572 280:[20000, 20043]
307972 307445 307445 284:[20000, 20005]
307975 307454 306991 284:[20000, 20027]
307989 307735 307735 277:[20000, 20005]
307987 307715 307715 311:[20000, 20018]
307982 305763 305763 276:[20000, 20107]
307997 307895 307895 308:[20000, 20025]
307993 306841 306841 280:[20000, 20040]
308003 307897 307897 288:[20000, 20003]
308000 306542 306542 245:[20000, 20003]
307998 305302 305302 256:[20000, 20585]
308013 307334 307775 283:[20000, 20031]
308005 304294 304294 279:[20000, 20051]
308022 307767 307767 308:[20000, 20010]
308017 305840 305840 300:[20000, 20013]
308035 307524 307938 278:[20000, 20001]
308043 307666 307666 287:[20000, 20077]
308040 307501 307501 304:[20000, 20103]
308039 305837 307058 286:[20000, 20367]
308036 306676 306676 289:[20000, 20014]
308056 307941 307941 291:[20000, 20038]
308047 305837 305837 286:[20000, 20001]
308058 307395 307395 286:[20000, 20075]
308064 307235 307235 291:[20000, 20094]
308069 307806 307806 289:[20000, 20103]
308066 305191 305191 282:[20000, 20055]
308078 307847 307847 285:[20000, 20061]
308077 307809 307809 247:[20000, 20112]
308076 307809 307809 247:[20000, 20192]
308071 303668 303668 262:[20000, 20002]
308093 307985 307985 290:[20000, 20019]
308088 307708 307708 285:[20000, 20003]
308087 307430 307430 289:[20000, 20118]
308085 307260 307260 285:[20000, 20000]
308099 307447 307447 291:[20000, 20013]
308098 307116 307274 281:[20000, 20087]
308094 305072 305072 277:[20000, 20015]
308107 307445 307445 284:[20000, 20051]
308105 307123 307123 285:[20000, 20055]
308129 307998 307998 257:[20000, 20675]
308128 308022 307889 305:[20000, 20049]
308126 307735 307735 277:[20000, 20038]
308120 306937 306937 305:[20000, 20103]
308119 306392 306392 284:[20000, 20113]
308134 307148 307148 293:[20000, 20042]
308142 307910 308045 284:[20000, 20000]
308150 306434 308046 283:[20000, 20022]
308156 307334 307334 283:[20000, 20002]
308152 306202 306202 245:[20000, 20135]
308165 308058 308058 287:[20000, 20027]
308163 307785 307785 287:[20000, 20080]
308162 305840 305840 300:[20000, 20051]
308167 306851 306851 290:[20000, 20027]
308178 307535 308074 288:[20000, 20026]
308174 307732 307732 300:[20000, 20014]
308172 307635 306903 286:[20000, 20035]
308188 307547 308093 291:[20000, 20002]
308182 308080 306995 304:[20000, 20000]
308181 306612 306612 283:[20000, 20021]
308180 305672 305672 286:[20000, 20098]
308199 307829 308101 291:[20000, 20003]
308197 308087 308087 290:[20000, 20053]
308196 307952 307952 286:[20000, 20118]
308194 307754 307754 305:[20000, 20078]
308193 307221 307221 286:[20000, 20373]
308192 307202 307202 284:[20000, 20013]
308191 307156 307156 284:[20000, 20026]
308203 308097 308097 291:[20000, 20041]
308208 305733 307662 303:[20000, 20121]
308207 307646 307646 284:[20000, 20104]
308206 307447 307447 291:[20000, 20027]
308215 307963 307963 284:[20000, 20030]
308209 307251 307251 289:[20000, 20031]
308224 307390 307986 306:[20000, 20067]
308222 306746 307636 289:[20000, 20030]
308221 307483 307483 243:[20000, 20058]
308220 307430 307430 289:[20000, 20088]
308238 307868 308143 288:[20000, 20205]
308236 307979 307979 286:[20000, 20084]
308232 307716 307716 281:[20000, 20020]
308230 305572 305572 280:[20000, 20060]
308228 305072 305072 277:[20000, 20196]
308244 307965 307965 305:[20000, 20031]
308243 307822 307822 258:[20000, 20023]
308255 307575 307721 301:[20000, 20120]
308253 306993 306993 284:[20000, 20045]
308262 308043 308170 287:[20000, 20013]
308260 308022 308022 309:[20000, 20067]
308259 307607 307607 283:[20000, 20007]
308258 307148 307148 293:[20000, 20072]
308268 308152 308152 246:[20000, 20028]
308267 308155 308155 288:[20000, 20013]
308264 307164 307482 290:[20000, 20090]
308278 308045 308045 284:[20000, 20003]
308276 307713 307713 285:[20000, 20084]
308272 307271 307271 305:[20000, 20022]
308271 307194 307194 283:[20000, 20183]
308284 308181 308181 284:[20000, 20219]
