122482 121085 121085 242:[25000, 25139]
128858 128671 128318 184:[25000, 25003]
129336 128132 128132 185:[25000, 25289]
129429 128681 128681 205:[25000, 25097]
129584 127776 127776 204:[25000, 25240]
129755 126994 126994 227:[25000, 25022]
129782 128997 128997 279:[25000, 25047]
129953 129820 129820 186:[25000, 25004]
130018 128964 128964 263:[25000, 25212]
130024 129547 129547 185:[25000, 25026]
130029 127920 127920 169:[25000, 25031]
130106 129957 129957 209:[25000, 25086]
130149 129710 129710 211:[25000, 25761]
130151 128601 128601 171:[25000, 25041]
130264 129805 129805 228:[25000, 25005]
130275 129812 129812 199:[25000, 25086]
130294 129572 129572 170:[25000, 25000]
130305 129297 129297 280:[25000, 25004]
130318 128390 129826 187:[25000, 25315]
130350 129249 129249 252:[25000, 25001]
130393 129264 129264 170:[25000, 25004]
130404 129547 129547 185:[25000, 25016]
130435 129968 129850 179:[25000, 25191]
130434 129850 129850 179:[25000, 25076]
130449 129932 129932 268:[25000, 25054]
130458 129993 129993 279:[25000, 25002]
130474 129997 129997 264:[25000, 25426]
130569 130106 130106 210:[25000, 25005]
130567 130071 130071 262:[25000, 25153]
130566 129800 129800 173:[25000, 25054]
130587 129469 129469 169:[25000, 25040]
130590 129748 129748 177:[25000, 25064]
130617 130467 130467 269:[25000, 25046]
130616 130393 130393 171:[25000, 25034]
130638 129075 129075 173:[25000, 25022]
130660 129500 129500 212:[25000, 25031]
130667 130204 130204 208:[25000, 25033]
130700 130531 130531 198:[25000, 25258]
130720 130247 130247 188:[25000, 25037]
130718 130251 130251 219:[25000, 25068]
130736 129651 129651 209:[25000, 25031]
130753 129158 129158 237:[25000, 25259]
130771 129848 129848 265:[25000, 25140]
130820 130329 130329 187:[25000, 25003]
130815 129320 129320 171:[25000, 25080]
130814 128832 128832 170:[25000, 25078]
130847 130408 130408 218:[25000, 25108]
130849 128828 128828 268:[25000, 25077]
130896 130751 130751 201:[25000, 25044]
130910 130450 130450 216:[25000, 25009]
130908 129796 129796 170:[25000, 25372]
130924 129658 129658 270:[25000, 25044]
130922 129090 129090 277:[25000, 25056]
130952 129515 129515 254:[25000, 25090]
130977 130831 130831 269:[25000, 25092]
130974 130523 130523 289:[25000, 25044]
130970 130164 130164 221:[25000, 25006]
130969 130164 130164 221:[25000, 25034]
130986 130479 130479 268:[25000, 25087]
130983 130147 130147 283:[25000, 25004]
130981 130112 130112 280:[25000, 25004]
130980 130102 130102 187:[25000, 25031]
131005 130863 130863 217:[25000, 25184]
130999 129510 129510 226:[25000, 25181]
131009 129687 129687 270:[25000, 25052]
131020 130518 130518 264:[25000, 25095]
131035 130889 130889 219:[25000, 25073]
131033 130224 130224 224:[25000, 25157]
131042 130789 130789 176:[25000, 25050]
131049 130112 130573 281:[25000, 25093]
131052 129851 129851 192:[25000, 25223]
131051 129851 129851 192:[25000, 25038]
131061 130556 130556 265:[25000, 25002]
131071 130610 130610 255:[25000, 25015]
131070 130597 130597 219:[25000, 25140]
131067 129653 130375 176:[25000, 25060]
131088 130605 130605 219:[25000, 25035]
131079 129075 129075 173:[25000, 25057]
131092 130275 130275 200:[25000, 25206]
131109 130645 130645 215:[25000, 25014]
131107 125936 129398 227:[25000, 25039]
131110 130312 130312 287:[25000, 25029]
131119 130337 130337 172:[25000, 25125]
131131 130351 130351 279:[25000, 25073]
131141 130680 130680 207:[25000, 25030]
131144 129429 129429 206:[25000, 25069]
131153 129916 129916 261:[25000, 25074]
131158 130677 130677 186:[25000, 25005]
131168 130268 130268 189:[25000, 25136]
131167 130268 130268 189:[25000, 25043]
131164 130229 130229 265:[25000, 25007]
131161 129665 129665 273:[25000, 25062]
131172 130710 130710 225:[25000, 25095]
131178 130702 130702 264:[25000, 25065]
131177 130695 130695 281:[25000, 25085]
131184 130067 130067 218:[25000, 25015]
131199 130436 130436 214:[25000, 25029]
131198 130063 130063 164:[25000, 25072]
131197 129624 129624 164:[25000, 25189]
131213 129649 129649 166:[25000, 25127]
131224 131080 131080 263:[25000, 25028]
131223 128896 131088 220:[25000, 25277]
131218 129157 129157 176:[25000, 25022]
131226 129572 129572 170:[25000, 25165]
131247 130446 130446 285:[25000, 25029]
131251 130037 130037 187:[25000, 25009]
131263 131124 131123 270:[25000, 25086]
131258 130486 130486 183:[25000, 25030]
131272 130782 130782 191:[25000, 25057]
131271 130559 130559 175:[25000, 25246]
131269 130457 130457 266:[25000, 25037]
131281 130583 130583 168:[25000, 25145]
131280 130548 130548 172:[25000, 25079]
131295 131042 131042 177:[25000, 25141]
131293 130823 130823 280:[25000, 25003]
131302 130614 130614 172:[25000, 25068]
131298 129198 129724 172:[25000, 25146]
131310 130162 130162 171:[25000, 25051]
131309 129584 129584 205:[25000, 25091]
131323 131160 131160 210:[25000, 25085]
