ID,Sporelayer,Quickener,Generation,Birth_step,Death_step,Lifespan,Sex_check,cgen
22,19,19,5,150,599,449,0,EY_9_AA_9_AA_1_AA_9_AA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFA_1_1_APBRAFBMADFB_-1_0_-1_BMAFBMADFC_-1_1_APBRAFBMADFD_1_BRAPBRAFBMADFE_1_-1_AP_0_AFBMADFF_0_1_APBRAFBMADFG_0_-1_APFH_-1_-1_APEQAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBRAF_0_-1_BMA
23,20,20,8,150,249,99,0,27
24,13,13,3,150,1999,1849,0,7
25,22,22,6,150,749,599,0,EY_9_AA_9_AA_1_AA_9_AA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFA_1_1_APBRAFBMADFB_-1_0_-1_BMAFBMADFC_-1_1_APBRAFBMADFD_1_BRAPBRAFBMADFE_1_-1_AP_0_AFBMADFF_0_1_APBRAFBMADFG_0_-1_APFH_-1_-1_APEQAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBRAF_0_-1_BMA
26,23,23,9,150,349,199,0,27
27,24,24,4,150,0,-150,0,7
28,25,25,7,150,599,449,0,EY_9_AA_9_AA_1_AA_9_AA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFA_1_1_APBRAFBMADFB_-1_0_-1_BMAFBMADFC_-1_1_APBRAFBMADFD_1_BRAPBRAFBMADFE_1_-1_AP_0_AFBMADFF_0_1_APBRAFBMADFG_0_-1_APFH_-1_-1_APEQAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBRAF_0_-1_BMA
29,18,18,10,150,349,199,0,31
30,26,26,10,150,249,99,0,27
31,27,27,5,150,649,499,0,7
32,28,28,8,200,399,199,0,3
33,30,30,11,200,349,149,0,EY_9_AA_9_AA_1_BMAFAA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFA_1_1_APBIDDDMADFB_-1_0_-1_AP_0_AFBMFC_-1_1_APBRAFAPBRFD_1_BRAPBRBRAFADFE_1_-1_BMAFBMADADFF_0_1_BMADAFBMADFG_0_-1_ADFH_-1_-1_APBRAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBRAF_0_-1_AA_9
34,29,29,11,200,249,49,0,EY_9_AA_9_AA_1_AA_9_BW_4_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AAAA_9_AA_7_AA_9_AA_8_AA_9_7_AA_1_ADFAAD_1_APBRAFBM_1_FB_-1_0_APAFAFBMADFC_-1_1_APBRAFBMADFD_1_0_APBRAFBMADFE_1_-1_APBRADFF_0_1_APBRAFFG_0_-1_APBRAFBMADFH_-1_-1_APBRAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMA
36,32,32,9,200,0,-200,0,3
37,24,24,4,200,599,399,0,7
38,35,35,7,200,599,399,0,7
39,11,11,5,200,599,399,0,EY_9_AA_9_AA_1_AA_9_AA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AAAA_9_AA_8_AA_9_AA_1_ADFA_1_1_APAFBMBMADFB_-1_0_-1_BMAFBMADFC_-1_1_APBRAFBMADFD_1_BRAPBRBRAFADFE_1_-1_AP_0_FF_0_1_APBRAFBMADFG_0_-1_APBRAFADFH_-1_-1_APBRAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBRAF_0_-1_BMA
40,36,36,10,200,249,49,0,3
41,37,37,5,200,649,449,0,7
42,38,38,8,200,449,249,0,7
43,39,39,6,200,399,199,0,26
44,20,20,8,200,249,49,0,27
45,31,31,6,250,599,349,0,EY_9_AA_9_AA_1_AA_9_AA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFA_1_1_APBRAFBMADFB_-1_0_-1_BMAFBMADFC_-1_1_APBRAPFD_1_AFBMADFE_1_-1_AP_0_AFBMADFF_0_1_APBRAFBMADFG_0_-1_ADBRAFBMADFH_-1_-1_APBRAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBRAF_0_-1_BMA
46,41,41,6,250,649,399,0,EY_9_AA_9_AA_1_AA_9_AA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFA_1_1_APBRAFBMADFB_-1_0_-1_BMAFBMADFC_1_BRAPBRAFBMADFD_1_-1_AP_0_AFBMADFE_0_1_APBRAFBMADFF_0_-1_APBRAFBMADFG_-1_-1_APBRAFBMADFHEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBRAF_0_-1_BMA
47,42,42,9,250,0,-250,0,EY_9_AA_9_AA_1_AA_9_AA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFA_1_4_ASBNBDBMADFB_-1_0_-1_BMAFBMADFC_-1_1_APBRADFD_1_BRAPBRAFBMADFE_1_-1_AP_0_AFBMADFF_0_1_APBRAFBMADFG_0_-1_APBRAFBMADFH_-1_-1_APBRAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_AF_0_-1_BMAF_0_APBRAF_0_-1_BMA
48,43,43,7,250,549,299,0,EY_9_AA_9_AA_1_AA_9_AA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AAAA_9_AA_8_AA_9_AA_1_ADFA_1_1_APAFBMBMADFB_-1_0_-1_BMAFBMADFCAFBMADFD_1_BRAPBRBRAFADFE_1_-1_AP_0_FF_0_1_APBRAFBMADFG_0_-1_APBRAFADFH_1_3_APBRAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBR_0_-1_BMA
49,48,48,8,250,549,299,0,EY_9_AA_9_AA_1_AA_9_AA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AAAA_9_AA_8_AA_9_AA_1_ADFA_1_1_APAFBMBMADFB_-1_0_-1_BMAFBMADFCAFBMADFD_1_BRAPBRBRAFADFE_1_-1_AP_0_FF_0_1_APBRAFBMADFG_0_-82_53_AI_-1_APBRAFADFH_1_3_APBRAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBR_0_-1_BMA
50,26,26,10,250,349,99,0,EY_9_AA_9_AA_1_BMAFAA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFA_1_1_APBIDDDMADFB_-1_0_-1_AP_0_AFBMFC_-1_1_APBRAFAPBRFD_1_BRAPBRBRAFADFE_1_-1_BMAFBMADADFF_0_1_BMADAFBMADFG_0_-1_APBRAFADFH_-1_-1_APBRAFBMADADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBRAF_0_-1_AA_9
