1 0 0 0:[0, 999]
5 1 1 1:[0, 1999]
6 4 4 4:[0, 999]
11 9 9 4:[0, 1999]
24 13 13 3:[0, 1999]
27 24 24 4:[0, 1999]
36 32 32 9:[0, 1999]
47 42 42 9:[0, 1999]
51 37 37 5:[0, 999]
53 20 20 8:[0, 999]
57 51 51 6:[0, 999]
56 41 41 6:[0, 1999]
59 33 33 12:[0, 999]
61 57 57 7:[0, 999]
65 62 62 9:[0, 1999]
71 68 68 11:[0, 1999]
72 32 32 9:[0, 999]
73 1 1 1:[0, 999]
77 73 73 2:[0, 999]
80 68 68 11:[0, 1999]
83 5 5 2:[0, 999]
85 71 71 12:[0, 1999]
91 84 84 14:[0, 999]
115 110 110 14:[0, 1999]
122 113 113 10:[0, 999]
124 115 115 15:[0, 1999]
126 118 118 18:[0, 999]
135 24 24 4:[0, 1999]
136 110 110 14:[0, 1999]
138 131 131 17:[0, 999]
140 6 6 5:[0, 999]
141 83 83 3:[0, 1999]
145 136 136 15:[0, 1999]
144 18 18 10:[0, 999]
149 142 142 8:[0, 1999]
148 99 99 11:[0, 999]
152 143 143 6:[0, 999]
151 123 123 14:[0, 999]
160 91 91 15:[0, 999]
167 136 136 15:[0, 1999]
174 165 165 6:[0, 999]
173 144 144 11:[0, 999]
176 122 122 11:[0, 999]
178 45 45 7:[0, 1999]
189 177 177 7:[0, 1999]
186 66 66 12:[0, 999]
191 154 154 8:[0, 999]
194 182 182 8:[0, 999]
195 185 185 10:[0, 999]
199 160 160 16:[0, 999]
203 192 192 16:[0, 999]
206 166 166 6:[0, 1999]
213 203 203 17:[0, 1999]
212 173 173 12:[0, 999]
211 171 171 7:[0, 999]
219 194 194 9:[0, 999]
229 187 187 8:[0, 1999]
236 223 223 9:[0, 999]
235 224 224 14:[0, 999]
234 196 196 14:[0, 1999]
241 228 228 11:[0, 999]
248 234 234 15:[0, 999]
250 206 206 7:[0, 999]
251 240 240 18:[0, 999]
256 91 91 15:[0, 999]
257 217 217 8:[0, 999]
258 250 250 8:[0, 999]
260 186 186 13:[0, 999]
263 193 152 7:[0, 999]
273 259 259 17:[0, 999]
272 199 199 17:[0, 999]
278 203 203 17:[0, 999]
280 267 267 11:[0, 999]
282 240 240 18:[0, 999]
283 243 243 8:[0, 999]
285 273 273 18:[0, 999]
289 250 250 8:[0, 1999]
290 280 280 12:[0, 999]
292 210 210 7:[0, 999]
293 212 212 13:[0, 999]
297 257 257 9:[0, 999]
302 264 264 9:[0, 999]
312 234 234 15:[0, 999]
318 304 304 18:[0, 999]
316 246 246 18:[0, 999]
320 237 237 15:[0, 999]
322 307 307 12:[0, 1999]
321 206 206 7:[0, 1999]
323 280 280 12:[0, 999]
327 186 186 13:[0, 999]
326 160 160 16:[0, 999]
331 317 317 19:[0, 999]
333 80 80 12:[0, 999]
337 323 323 13:[0, 4999]
336 292 292 8:[0, 999]
339 259 259 17:[0, 999]
338 199 199 17:[0, 999]
344 203 203 17:[0, 999]
343 201 201 9:[0, 1999]
348 85 85 13:[0, 1999]
352 338 338 18:[0, 999]
351 273 273 18:[0, 999]
350 91 91 15:[0, 999]
353 222 222 11:[0, 999]
357 345 345 16:[0, 999]
361 282 282 19:[0, 999]
360 211 211 8:[0, 1999]
363 257 257 9:[0, 999]
365 117 117 9:[0, 999]
364 59 59 13:[0, 999]
366 357 357 17:[0, 999]
368 109 109 14:[0, 999]
370 323 323 13:[0, 999]
369 199 199 17:[0, 999]
371 326 326 17:[0, 999]
372 73 73 2:[0, 999]
374 366 366 18:[0, 999]
373 292 292 8:[0, 999]
375 368 368 15:[0, 999]
381 375 375 16:[0, 999]
382 251 251 19:[0, 999]
385 357 357 17:[0, 999]
384 317 317 19:[0, 999]
386 111 111 17:[0, 999]
387 381 381 17:[0, 999]
388 199 199 17:[0, 999]
389 320 320 16:[0, 999]
390 331 331 20:[0, 999]
391 386 386 18:[0, 1999]
392 126 126 19:[0, 999]
394 368 368 15:[0, 1999]
393 136 136 15:[0, 1999]
396 387 387 18:[0, 999]
395 291 280 12:[0, 999]
398 270 270 12:[0, 999]
397 145 145 16:[0, 999]
400 373 373 9:[0, 999]
401 391 391 19:[0, 999]
403 393 393 16:[0, 1999]
405 333 333 13:[0, 999]
407 350 350 16:[0, 999]
406 348 348 14:[0, 999]
408 343 343 10:[0, 999]
410 399 399 12:[0, 999]
414 401 401 20:[0, 999]
415 341 341 15:[0, 999]
416 302 302 10:[0, 999]
418 297 297 10:[0, 999]
419 292 292 8:[0, 1999]
420 405 405 14:[0, 999]
422 331 331 20:[0, 999]
423 387 387 18:[0, 999]
424 159 421 19:[0, 999]
425 417 417 16:[0, 999]
426 419 419 9:[0, 999]
427 420 420 15:[0, 1999]
428 391 391 19:[0, 999]
429 394 394 16:[0, 999]
432 377 428 20:[0, 1999]
431 285 285 19:[0, 999]
433 191 191 9:[0, 999]
436 394 429 17:[0, 999]
435 401 401 20:[0, 999]
439 400 400 10:[0, 999]
440 337 337 14:[0, 999]
441 297 297 10:[0, 999]
443 373 373 9:[0, 999]
442 280 280 12:[0, 999]
445 431 431 20:[0, 999]
444 406 406 15:[0, 999]
446 433 433 10:[0, 999]
448 435 435 21:[0, 999]
447 436 436 18:[0, 999]
449 386 415 16:[0, 999]
451 384 384 20:[0, 999]
452 302 302 10:[0, 999]
454 418 418 11:[0, 999]
455 440 440 15:[0, 999]
457 420 420 15:[0, 999]
461 444 444 16:[0, 1999]
460 442 442 13:[0, 999]
459 375 375 16:[0, 999]
458 290 290 13:[0, 999]
462 73 73 2:[0, 999]
463 452 452 11:[0, 999]
476 385 385 18:[1000, 1999]
480 470 470 15:[1000, 3999]
506 498 498 22:[1000, 1999]
533 522 522 11:[1000, 1999]
532 494 494 17:[1000, 1999]
546 422 422 21:[1000, 2999]
551 461 461 17:[1000, 1999]
562 554 554 21:[1000, 2999]
576 515 515 22:[1000, 1999]
583 551 551 18:[1000, 1999]
598 591 591 5:[1000, 1999]
639 366 366 18:[1000, 1999]
641 635 635 26:[1000, 1999]
652 625 625 19:[1000, 3999]
681 674 674 20:[1000, 3999]
682 676 676 21:[1000, 3999]
695 688 688 4:[1000, 1999]
711 682 682 22:[1000, 1999]
719 708 708 21:[1000, 1999]
733 724 724 6:[1000, 2999]
747 336 336 9:[1000, 1999]
759 752 752 14:[1000, 1999]
763 660 660 12:[1000, 1999]
765 756 756 30:[1000, 1999]
767 495 742 12:[1000, 1999]
772 316 316 19:[1000, 1999]
795 783 783 6:[1000, 1999]
800 446 792 28:[1000, 1999]
805 791 791 9:[1000, 2999]
806 699 699 17:[1000, 1999]
812 706 706 24:[1000, 1999]
817 806 806 18:[1000, 1999]
825 813 813 5:[1000, 1999]
826 747 747 10:[1000, 1999]
829 502 502 16:[1000, 1999]
832 605 605 7:[1000, 1999]
837 786 797 13:[1000, 1999]
846 582 836 12:[1000, 1999]
845 829 829 17:[1000, 1999]
844 382 382 20:[1000, 1999]
855 806 806 18:[1000, 1999]
860 853 853 21:[1000, 1999]
865 858 858 19:[1000, 1999]
871 779 779 26:[1000, 1999]
877 862 862 7:[1000, 2999]
879 865 865 20:[1000, 1999]
878 834 834 23:[1000, 1999]
882 840 840 20:[1000, 1999]
886 873 873 29:[1000, 1999]
884 798 798 26:[1000, 1999]
887 688 688 4:[1000, 1999]
888 879 879 21:[1000, 1999]
890 574 574 6:[1000, 1999]
891 882 882 21:[1000, 1999]
897 887 887 5:[1000, 1999]
902 765 765 31:[1000, 1999]
906 895 895 9:[1000, 1999]
908 899 899 31:[1000, 1999]
911 901 901 23:[1000, 1999]
914 360 360 9:[1000, 1999]
915 844 844 21:[1000, 2999]
916 698 698 20:[1000, 1999]
918 840 840 20:[1000, 1999]
924 887 887 5:[1000, 1999]
926 917 917 26:[1000, 1999]
928 918 918 21:[1000, 1999]
929 891 891 22:[1000, 1999]
933 836 836 12:[1000, 1999]
934 922 922 34:[1000, 1999]
938 923 923 11:[1000, 1999]
939 897 897 6:[1000, 1999]
943 765 765 31:[1000, 1999]
950 932 932 11:[1000, 2999]
949 902 902 32:[1000, 1999]
952 825 825 6:[1000, 1999]
956 935 935 19:[1000, 1999]
955 795 795 7:[1000, 1999]
954 711 711 23:[1000, 1999]
957 908 908 32:[1000, 1999]
959 943 943 32:[1000, 1999]
961 914 914 10:[1000, 2999]
965 956 956 20:[1000, 1999]
967 360 360 9:[1000, 1999]
969 959 959 33:[1000, 1999]
972 766 766 13:[1000, 1999]
975 891 891 22:[1000, 1999]
978 928 928 22:[1000, 1999]
979 965 965 21:[1000, 1999]
981 806 806 18:[1000, 1999]
984 844 844 21:[1000, 1999]
986 923 980 11:[1000, 1999]
987 871 871 27:[1000, 1999]
989 935 935 19:[1000, 1999]
990 765 765 31:[1000, 1999]
991 945 945 20:[1000, 1999]
994 982 982 23:[1000, 1999]
993 877 877 8:[1000, 1999]
995 985 985 3:[1000, 2999]
998 914 914 10:[1000, 1999]
997 911 911 24:[1000, 1999]
1002 990 990 32:[1000, 1999]
1001 989 989 20:[1000, 1999]
1000 956 956 20:[1000, 1999]
999 533 533 12:[1000, 1999]
